순번,순위,전일대비_순위증감,신규진입여부,movieCd,영화제목,개봉일,매출액,당일매출비율,전일대비_매출증감,전일대비_매출액_증감비율,누적매출액,당일관객수,전일대비_관객증감,전일대비_관객증감비율,누적관객수,당일스크린수,showCnt,targetDt
4,4,1,OLD,20259781,토이 스토리 5,2026-06-17,71227390,1.4,-44148190,-38.3,30022826170,7454,-4100,-35.5,2919664,384,487,2026-08-03
5,5,-1,OLD,20259946,모아나,2026-07-08,65168340,1.3,-58931060,-47.5,10691957870,6986,-5777,-45.3,1006935,437,580,2026-08-03
6,6,2,OLD,20264148,어떻게 해야 했을까?,2026-07-29,31604660,0.6,-24973140,-44.1,275050480,3147,-2287,-42.1,27155,59,103,2026-08-03
7,7,0,OLD,20262902,다윗,2026-07-10,29609230,0.6,-65013720,-68.7,2593378990,3085,-6832,-68.9,266434,171,199,2026-08-03
8,8,1,OLD,20242402,눈동자,2026-06-24,15303850,0.3,-9747450,-38.9,15876977350,1489,-852,-36.4,1538865,164,185,2026-08-03
9,9,1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,7537100,0.1,-5249400,-41.1,382904050,845,-566,-40.1,42841,112,112,2026-08-03
10,10,0,NEW,20250654,오디세이,2026-08-05,6102000,0.1,6102000,100.0,16710000,678,678,100.0,1302,2,2,2026-08-03
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,3631237270,78.5,-543224880,-13.0,43668674970,348287,-53493,-13.3,4138392,2214,8852,2026-08-04
2,2,0,OLD,20233219,호프,2026-07-15,582039140,12.6,-36232160,-5.9,45478677690,61234,-2693,-4.2,4235713,919,2690,2026-08-04
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,110418150,2.4,-2623650,-2.3,7377237240,12337,-117,-0.9,738733,668,1029,2026-08-04
4,4,0,OLD,20259781,토이 스토리 5,2026-06-17,73375740,1.6,2148350,3.0,30096201910,7890,436,5.8,2927554,385,488,2026-08-04
5,5,0,OLD,20259946,모아나,2026-07-08,63551500,1.4,-1616840,-2.5,10755509370,6864,-122,-1.7,1013799,444,603,2026-08-04
6,6,1,OLD,20262902,다윗,2026-07-10,28581200,0.6,-1028030,-3.5,2621960190,3059,-26,-0.8,269493,178,204,2026-08-04
7,7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,29506850,0.6,-2097810,-6.6,304557330,2991,-156,-5.0,30146,56,104,2026-08-04
8,8,0,OLD,20242402,눈동자,2026-06-24,13952100,0.3,-1351750,-8.8,15890929450,1369,-120,-8.1,1540234,168,189,2026-08-04
9,9,1,OLD,20250654,오디세이,2026-08-05,12681000,0.3,6579000,107.8,29391000,1065,387,57.1,2367,3,3,2026-08-04
10,10,0,NEW,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,10966800,0.2,10966800,100.0,318006120,916,916,100.0,27410,3,6,2026-08-04
1,1,8,OLD,20250654,오디세이,2026-08-05,3136555240,44.7,3123874240,24634.3,3165946240,292707,291642,27384.2,295074,1682,5036,2026-08-05
2,2,-1,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2725367730,38.9,-905869540,-24.9,46394042700,275177,-73110,-21.0,4413569,1666,5657,2026-08-05
3,3,7,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,659585480,9.4,648618680,5914.4,977591600,73165,72249,7887.4,100575,824,1751,2026-08-05
4,4,-2,OLD,20233219,호프,2026-07-15,290952170,4.1,-291086970,-50.0,45769629860,30068,-31166,-50.9,4265781,690,1164,2026-08-05
5,5,-2,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,45917250,0.7,-64500900,-58.4,7423154490,5297,-7040,-57.1,744030,302,340,2026-08-05
6,6,1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,39024770,0.6,9517920,32.3,343582100,4132,1141,38.1,34278,74,140,2026-08-05
7,7,-3,OLD,20259781,토이 스토리 5,2026-06-17,25988750,0.4,-47386990,-64.6,30122190660,2768,-5122,-64.9,2930322,150,162,2026-08-05
8,8,-3,OLD,20259946,모아나,2026-07-08,19959260,0.3,-43592240,-68.6,10775468630,2325,-4539,-66.1,1016124,119,127,2026-08-05
9,9,-3,OLD,20262902,다윗,2026-07-10,12720600,0.2,-15860600,-55.5,2634680790,1390,-1669,-54.6,270883,70,74,2026-08-05
10,10,0,NEW,20262945,퍼피 구조대: 더 다이노 무비,2026-08-13,6714000,0.1,6714000,100.0,6714000,746,746,100.0,746,3,3,2026-08-05
1,1,0,OLD,20250654,오디세이,2026-08-05,2672173870,45.2,-464381370,-14.8,5838120110,246220,-46487,-15.9,541294,1660,4912,2026-08-06
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2367870110,40.1,-357497620,-13.1,48761912810,238064,-37113,-13.5,4651633,1694,5675,2026-08-06
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,386347380,6.5,-273238100,-41.4,1363938980,43768,-29397,-40.2,144343,801,1698,2026-08-06
4,4,0,OLD,20233219,호프,2026-07-15,261930550,4.4,-29021620,-10.0,46031560410,27200,-2868,-9.5,4292981,688,1163,2026-08-06
5,5,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,38688200,0.7,-7229050,-15.7,7461842690,4646,-651,-12.3,748676,284,313,2026-08-06
6,6,0,NEW,20255484,오케이 마담2,2026-08-12,40203000,0.7,40203000,100.0,71416000,4467,4467,100.0,7874,25,25,2026-08-06
7,7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,33483050,0.6,-5541720,-14.2,377065150,3420,-712,-17.2,37698,78,143,2026-08-06
8,8,-1,OLD,20259781,토이 스토리 5,2026-06-17,24128200,0.4,-1860550,-7.2,30146318860,2665,-103,-3.7,2932987,148,154,2026-08-06
9,9,0,OLD,20262902,다윗,2026-07-10,14737500,0.2,2016900,15.9,2649418290,1607,217,15.6,272490,77,81,2026-08-06
10,10,-2,OLD,20259946,모아나,2026-07-08,13807550,0.2,-6151710,-30.8,10789276180,1536,-789,-33.9,1017660,106,113,2026-08-06
1,1,0,OLD,20250654,오디세이,2026-08-05,3490907870,47.2,818734000,30.6,9329027980,310314,64094,26.0,851608,1633,5013,2026-08-07
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2995196040,40.5,627325930,26.5,51757108850,286714,48650,20.4,4938347,1751,6084,2026-08-07
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,384165450,5.2,-2181930,-0.6,1748104430,41712,-2056,-4.7,186055,822,1798,2026-08-07
4,4,0,OLD,20233219,호프,2026-07-15,323269460,4.4,61338910,23.4,46354829870,30831,3631,13.3,4323812,658,1135,2026-08-07
5,5,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,40089750,0.5,1401550,3.6,7501932440,4525,-121,-2.6,753201,260,281,2026-08-07
6,6,1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,36250000,0.5,2766950,8.3,413315150,3505,85,2.5,41203,81,145,2026-08-07
